epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,111.275,1.14097,4.21627,0.00235,0.66842,0.5,0.76167,0.54867,1.09543,4.29794,0.00425,0.00254926,0.000849755,0.00254926,0.000849755,0.00254926,0.000849755,0.00254926,0.000849755
51,113.24,1.4625,3.68416,0.00264,0.66842,0.5,0.76167,0.54867,1.09543,4.29794,0.00425,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,115.366,1.26534,3.98778,0.0031,0.75737,0.63545,0.845,0.59473,1.26136,4.23708,0.0051,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,117.281,1.22985,3.76166,0.00233,0.75737,0.63545,0.845,0.59473,1.26136,4.23708,0.0051,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,119.236,1.14474,3.71898,0.00212,0.74509,0.67484,0.87,0.60704,1.40464,4.10769,0.00579,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
55,121.191,1.43833,4.14613,0.00241,0.74509,0.67484,0.87,0.60704,1.40464,4.10769,0.00579,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
56,123.21,1.39517,3.94944,0.00241,0.6952,0.70067,0.87,0.57684,1.34323,4.15916,0.00553,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
57,125.112,1.40245,3.43824,0.00262,0.6952,0.70067,0.87,0.57684,1.34323,4.15916,0.00553,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
58,127.219,1.55932,3.81926,0.00253,0.66909,0.71888,0.87,0.58822,1.52222,3.85113,0.0064,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
59,129.132,1.39311,4.17573,0.00255,0.66909,0.71888,0.87,0.58822,1.52222,3.85113,0.0064,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
60,131.185,1.43802,3.40035,0.00205,0.67849,0.77448,0.87,0.58814,1.60793,3.56601,0.00706,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305
61,133.062,1.60303,3.55964,0.00265,0.67849,0.77448,0.87,0.58814,1.60793,3.56601,0.00706,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
62,135.04,1.30178,3.46427,0.00246,0.7514,0.69686,0.87,0.58831,1.49366,3.36096,0.00649,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299
63,136.976,1.14446,3.19589,0.00209,0.7514,0.69686,0.87,0.58831,1.49366,3.36096,0.00649,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
64,138.997,1.17055,3.7566,0.0027,0.73898,0.70604,0.87,0.58484,1.46539,3.22881,0.00636,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292
65,140.907,1.28233,3.094,0.00243,0.73898,0.70604,0.87,0.58484,1.46539,3.22881,0.00636,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
66,142.882,1.25785,3.08423,0.00228,0.73751,0.72279,0.87,0.60393,1.40076,3.11666,0.00609,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
67,144.798,1.30062,2.91862,0.00262,0.73751,0.72279,0.87,0.60393,1.40076,3.11666,0.00609,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
68,146.91,1.33382,3.0515,0.00232,0.73342,0.7269,0.87,0.63505,1.33357,3.0113,0.00574,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279
69,148.845,1.33454,3.20969,0.00307,0.73342,0.7269,0.87,0.63505,1.33357,3.0113,0.00574,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
70,150.874,1.3166,3.25107,0.00248,0.73764,0.73096,0.87,0.63505,1.2808,2.87541,0.00542,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272
71,152.829,0.99319,4.37374,0.00257,0.73764,0.73096,0.87,0.63505,1.2808,2.87541,0.00542,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
72,154.899,1.24368,2.51747,0.00204,0.74659,0.73308,0.87,0.64146,1.31145,2.81067,0.00555,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266
73,156.932,1.18463,2.83325,0.00238,0.74659,0.73308,0.87,0.64146,1.31145,2.81067,0.00555,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
74,158.937,1.313,3.24508,0.00294,0.7477,0.74612,0.87,0.64355,1.28504,2.71999,0.00534,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259
75,160.893,1.11882,2.61086,0.0022,0.7477,0.74612,0.87,0.64355,1.28504,2.71999,0.00534,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
